iter	Passed	Remaining
0	145	145559
1	146	73088
2	147	48918
3	147	36829
4	148	29581
5	149	24751
6	150	21297
7	150	18705
8	151	16700
9	152	15083
10	153	13758
11	153	12655
12	154	11721
13	155	10921
14	155	10227
15	156	9619
16	157	9084
17	157	8610
18	158	8185
19	159	7800
20	159	7453
21	160	7138
22	161	6850
23	161	6585
24	162	6342
25	163	6119
26	164	5910
27	164	5716
28	165	5537
29	166	5369
30	166	5212
31	167	5064
32	168	4926
33	168	4795
34	169	4672
35	170	4558
36	170	4449
37	171	4346
38	172	4247
39	173	4154
40	173	4064
41	174	3982
42	175	3902
43	176	3824
44	176	3750
45	177	3679
46	178	3611
47	178	3546
48	179	3483
49	180	3425
50	181	3371
51	181	3316
52	182	3262
53	183	3210
54	183	3160
55	184	3111
56	185	3065
57	186	3022
58	186	2978
59	187	2936
60	188	2895
61	188	2855
62	189	2817
63	190	2779
64	190	2743
65	191	2707
66	191	2673
67	192	2639
68	193	2606
69	193	2576
70	194	2547
71	195	2517
72	195	2488
73	196	2460
74	197	2432
75	197	2405
76	198	2378
77	198	2351
78	199	2326
79	200	2304
80	200	2279
81	201	2256
82	201	2230
83	202	2207
84	203	2185
85	203	2163
86	204	2142
87	204	2122
88	205	2102
89	206	2082
90	206	2063
91	207	2044
92	207	2026
93	208	2007
94	208	1990
95	209	1972
96	210	1955
97	210	1938
98	211	1922
99	211	1905
100	212	1890
101	212	1874
102	213	1859
103	214	1844
104	214	1830
105	215	1815
106	215	1801
107	216	1787
108	217	1774
109	217	1760
110	218	1747
111	218	1734
112	219	1721
113	219	1709
114	220	1697
115	221	1684
116	221	1672
117	222	1660
118	222	1648
119	223	1637
120	223	1626
121	224	1614
122	224	1603
123	225	1593
124	226	1582
125	226	1572
126	227	1561
127	227	1551
128	228	1542
129	228	1532
130	229	1522
131	230	1513
132	230	1503
133	231	1494
134	231	1485
135	232	1476
136	233	1467
137	233	1459
138	234	1450
139	234	1442
140	235	1433
141	235	1424
142	236	1416
143	236	1408
144	237	1400
145	238	1392
146	238	1384
147	239	1377
148	239	1369
149	240	1362
150	240	1354
151	241	1348
152	242	1341
153	242	1333
154	243	1326
155	244	1320
156	244	1313
157	245	1307
158	245	1300
159	246	1293
160	246	1286
161	247	1280
162	248	1273
163	248	1267
164	249	1261
165	249	1255
166	250	1249
167	251	1243
168	251	1237
169	252	1232
170	252	1226
171	253	1220
172	254	1215
173	254	1210
174	255	1205
175	256	1199
176	256	1194
177	257	1188
178	258	1183
179	258	1178
180	259	1173
181	259	1168
182	260	1163
183	261	1158
184	261	1153
185	262	1148
186	263	1143
187	263	1139
188	264	1134
189	265	1129
190	265	1125
191	266	1120
192	266	1116
193	267	1111
194	268	1107
195	268	1102
196	269	1098
197	270	1094
198	270	1090
199	271	1085
200	272	1081
201	272	1077
202	273	1073
203	274	1069
204	274	1065
205	275	1061
206	275	1056
207	276	1052
208	277	1049
209	277	1045
210	278	1041
211	279	1037
212	279	1033
213	280	1029
214	281	1026
215	281	1023
216	282	1020
217	283	1016
218	284	1012
219	284	1009
220	285	1006
221	286	1002
222	286	999
223	287	996
224	288	992
225	288	989
226	289	986
227	290	983
228	290	979
229	291	976
230	292	972
231	292	969
232	293	966
233	294	963
234	294	959
235	295	957
236	296	954
237	297	951
238	297	947
239	298	944
240	299	941
241	299	938
242	300	935
243	301	932
244	301	929
245	302	926
246	303	923
247	303	920
248	304	917
249	305	915
250	305	912
251	306	909
252	307	906
253	308	904
254	308	901
255	309	899
256	310	896
257	311	894
258	311	891
259	312	889
260	313	886
261	313	884
262	314	881
263	315	879
264	316	876
265	316	874
266	317	872
267	318	869
268	319	867
269	319	864
270	320	862
271	321	859
272	321	857
273	322	854
274	323	852
275	323	849
276	324	847
277	325	844
278	325	842
279	326	839
280	327	837
281	327	834
282	328	832
283	329	829
284	329	827
285	330	824
286	331	822
287	331	820
288	332	817
289	332	815
290	333	812
291	334	810
292	334	808
293	335	805
294	336	803
295	336	801
296	337	799
297	338	796
298	338	794
299	339	792
300	340	790
301	340	787
302	341	785
303	342	783
304	342	781
305	343	779
306	344	776
307	344	774
308	345	772
309	346	770
310	346	768
311	347	766
312	348	764
313	348	761
314	349	759
315	350	757
316	350	755
317	351	753
318	352	751
319	352	749
320	353	747
321	354	745
322	354	743
323	355	741
324	356	739
325	356	737
326	357	735
327	358	733
328	358	731
329	359	729
330	360	727
331	360	725
332	361	724
333	362	722
334	362	720
335	363	718
336	364	716
337	364	714
338	365	712
339	366	710
340	366	708
341	367	706
342	368	705
343	368	703
344	369	701
345	370	699
346	370	697
347	371	695
348	371	693
349	372	692
350	373	690
351	373	688
352	374	686
353	375	684
354	375	682
355	376	681
356	377	679
357	377	677
358	378	676
359	379	674
360	379	672
361	380	670
362	381	668
363	381	667
364	382	665
365	383	663
366	383	662
367	384	660
368	385	658
369	385	656
370	386	655
371	387	653
372	387	651
373	388	650
374	389	648
375	389	646
376	390	645
377	391	643
378	391	641
379	392	640
380	393	638
381	393	637
382	394	635
383	395	634
384	395	632
385	396	630
386	397	629
387	397	627
388	398	625
389	399	624
390	399	622
391	400	621
392	401	619
393	401	618
394	402	616
395	403	614
396	403	613
397	404	611
398	405	610
399	405	608
400	406	607
401	407	605
402	407	604
403	408	602
404	409	601
405	409	599
406	410	598
407	411	596
408	411	595
409	412	593
410	413	591
411	413	590
412	414	589
413	415	587
414	415	586
415	416	584
416	417	583
417	417	581
418	418	580
419	419	578
420	419	577
421	420	575
422	421	574
423	421	572
424	422	571
