iter	Passed	Remaining
0	147	147154
1	150	75165
2	154	51298
3	158	39437
4	161	32232
5	165	27441
6	169	23985
7	172	21360
8	175	19317
9	178	17640
10	180	16259
11	184	15153
12	187	14229
13	190	13415
14	193	12683
15	196	12058
16	199	11526
17	202	11040
18	205	10592
19	207	10190
20	210	9825
21	213	9495
22	216	9202
23	219	8915
24	222	8659
25	224	8412
26	227	8183
27	230	7993
28	232	7800
29	236	7632
30	238	7459
31	241	7295
32	244	7153
33	246	7008
34	249	6874
35	252	6749
36	254	6627
37	257	6516
38	260	6412
39	262	6307
40	265	6212
41	268	6116
42	271	6044
43	275	5991
44	277	5897
45	279	5801
46	281	5707
47	283	5620
48	284	5530
49	286	5446
50	288	5367
51	290	5290
52	291	5207
53	292	5125
54	293	5046
55	294	4970
56	295	4896
57	297	4825
58	298	4760
59	299	4695
60	301	4636
61	302	4574
62	303	4512
63	304	4452
64	305	4393
65	306	4335
66	307	4280
67	308	4225
68	309	4172
69	310	4121
70	311	4072
71	312	4023
72	313	3979
73	314	3935
74	315	3891
75	316	3847
76	317	3805
77	318	3763
78	319	3722
79	320	3682
80	321	3643
81	322	3606
82	322	3564
83	323	3529
84	324	3494
85	325	3460
86	326	3426
87	327	3394
88	328	3363
89	329	3331
90	330	3300
91	331	3270
92	332	3240
93	333	3211
94	334	3182
95	335	3155
96	335	3127
97	336	3100
98	337	3074
99	338	3048
100	339	3022
101	340	2999
102	341	2978
103	343	2958
104	344	2935
105	345	2914
106	346	2892
107	347	2871
108	348	2850
109	349	2829
110	350	2808
111	351	2787
112	352	2766
113	353	2746
114	354	2728
115	355	2709
116	356	2688
117	357	2669
118	358	2651
119	359	2633
120	360	2615
121	360	2596
122	361	2579
123	362	2562
124	363	2545
125	364	2528
126	365	2511
127	366	2495
128	367	2479
129	368	2464
130	369	2449
131	370	2434
132	371	2418
133	371	2403
134	373	2390
135	373	2375
136	374	2361
137	375	2347
138	376	2333
139	377	2319
140	378	2306
141	379	2291
142	380	2278
143	381	2265
144	382	2252
145	383	2240
146	383	2228
147	384	2215
148	385	2203
149	386	2191
150	387	2180
151	388	2168
152	389	2157
153	390	2145
154	391	2134
155	392	2123
156	393	2112
157	394	2101
158	395	2090
159	396	2080
160	396	2068
161	397	2058
162	398	2047
163	399	2037
164	400	2027
165	401	2017
166	402	2008
167	403	1998
168	404	1988
169	405	1979
170	406	1969
171	407	1960
172	408	1951
173	409	1942
174	410	1933
175	411	1924
176	412	1915
177	413	1907
178	414	1899
179	414	1890
180	415	1882
181	416	1873
182	417	1865
183	418	1857
184	419	1848
185	420	1840
186	421	1832
187	422	1824
188	423	1816
189	424	1810
190	425	1802
191	426	1794
192	427	1787
193	428	1780
194	429	1773
195	430	1765
196	431	1758
197	432	1751
198	433	1744
199	434	1737
200	435	1730
201	436	1723
202	437	1716
203	438	1709
204	439	1703
205	440	1696
206	441	1689
207	442	1683
208	442	1676
209	443	1669
210	444	1663
211	445	1656
212	446	1650
213	447	1644
214	448	1637
215	449	1631
216	450	1625
217	451	1619
218	452	1613
219	453	1607
220	454	1602
221	455	1596
222	456	1590
223	457	1584
224	458	1578
225	459	1572
226	460	1567
227	461	1561
228	462	1556
229	463	1550
230	464	1544
231	465	1539
232	465	1533
233	467	1529
234	468	1526
235	469	1520
236	471	1518
237	473	1516
238	474	1511
239	475	1506
240	476	1501
241	477	1496
242	478	1491
243	479	1486
244	480	1481
245	481	1476
246	482	1472
247	483	1467
248	485	1462
249	486	1458
250	486	1453
251	487	1448
252	488	1443
253	489	1438
254	490	1433
255	491	1429
256	492	1424
257	493	1420
258	494	1415
259	495	1411
260	496	1407
261	497	1402
262	498	1397
263	499	1393
264	500	1388
265	501	1384
266	502	1379
267	503	1375
268	504	1371
269	505	1367
270	506	1363
271	507	1358
272	508	1354
273	509	1350
274	510	1346
275	511	1342
276	512	1338
277	513	1334
278	514	1330
279	515	1325
280	516	1321
281	517	1317
282	518	1313
283	519	1310
284	520	1306
285	522	1303
286	523	1299
287	524	1296
288	525	1292
289	526	1288
290	527	1284
291	528	1280
292	529	1276
293	529	1272
294	530	1268
295	531	1264
296	532	1261
297	533	1257
298	534	1253
299	535	1250
300	537	1247
301	538	1244
302	539	1240
303	540	1236
304	541	1233
305	542	1229
306	543	1226
307	544	1223
308	545	1219
309	546	1216
310	547	1212
311	548	1209
312	549	1205
313	550	1202
314	551	1199
315	552	1196
316	553	1193
317	554	1189
318	555	1186
319	556	1182
320	557	1179
321	558	1175
322	559	1172
323	560	1169
324	561	1165
325	562	1162
326	563	1159
327	564	1156
328	565	1153
329	566	1150
330	567	1147
331	568	1143
332	569	1140
333	570	1137
334	571	1134
335	572	1130
336	573	1127
337	574	1124
338	575	1121
339	576	1118
340	577	1115
341	578	1112
342	579	1109
343	580	1106
344	581	1103
345	582	1100
346	583	1097
347	583	1094
348	584	1091
349	585	1087
350	586	1084
351	587	1081
352	588	1078
353	589	1075
354	590	1072
355	591	1069
356	592	1067
357	593	1064
358	594	1061
359	595	1059
360	596	1056
361	597	1053
362	598	1050
363	599	1047
364	600	1045
365	601	1042
366	602	1039
367	603	1036
368	604	1033
369	605	1031
370	606	1028
371	607	1025
372	608	1022
373	609	1020
374	610	1017
375	611	1015
376	612	1012
377	613	1009
378	614	1006
379	615	1004
380	616	1001
381	617	998
382	618	996
383	619	993
384	620	990
385	621	988
386	622	985
387	623	982
388	624	980
389	625	977
390	626	975
391	627	972
392	628	970
393	629	967
394	629	964
395	630	962
396	631	959
397	632	957
398	634	955
399	635	952
400	636	950
401	636	947
402	637	944
403	638	942
404	639	940
405	640	937
406	641	935
407	642	932
408	643	930
409	644	927
410	645	925
411	646	923
412	647	920
413	648	918
414	649	915
415	650	913
416	651	910
417	652	908
418	653	906
419	654	903
420	655	901
421	656	898
422	657	896
423	658	894
424	659	891
425	660	889
426	661	887
427	662	884
428	663	882
429	663	880
430	664	877
431	665	875
432	666	873
433	667	870
434	668	868
435	669	866
436	670	864
437	671	861
438	672	859
439	673	857
440	674	855
441	675	852
442	676	850
443	677	848
444	678	846
445	679	843
446	680	841
447	681	839
448	682	837
449	683	834
450	684	832
451	685	830
452	686	828
453	687	826
454	687	824
455	688	821
456	689	819
457	690	817
458	691	815
459	692	813
460	693	810
461	694	808
462	695	806
463	696	804
464	697	802
465	698	800
466	699	798
467	700	796
468	701	793
469	702	791
470	703	789
471	704	787
472	705	785
473	705	783
474	706	781
475	707	779
476	708	776
477	709	774
478	710	772
479	711	770
480	712	768
481	713	766
482	714	764
483	715	762
484	716	760
485	717	758
486	718	756
487	719	754
488	720	752
489	721	750
490	721	748
491	722	746
492	723	744
493	724	742
494	725	740
495	726	738
496	727	736
497	728	734
498	729	732
499	730	730
500	731	728
501	732	726
502	733	724
503	734	722
504	735	720
505	736	718
506	737	716
507	738	715
508	739	713
509	740	711
510	741	709
511	742	707
512	743	705
513	744	704
514	746	702
515	747	700
516	748	698
517	748	696
518	749	695
519	751	693
520	752	691
521	752	689
522	753	687
523	754	685
524	755	683
525	756	681
526	757	680
527	759	678
528	760	677
529	761	675
530	762	673
531	763	671
532	764	669
533	765	667
534	766	666
535	767	664
536	768	662
537	769	660
538	770	658
539	771	656
540	772	655
541	773	653
542	774	651
543	775	649
544	776	648
545	777	646
546	778	644
547	779	642
548	780	640
549	781	639
550	782	637
551	783	635
552	783	633
553	784	631
554	785	630
555	787	628
556	788	626
557	789	625
558	790	623
559	791	621
560	792	619
561	793	618
562	794	616
563	795	614
564	796	612
565	797	611
566	797	609
567	798	607
568	799	605
569	800	604
570	801	602
571	803	601
572	804	599
573	805	597
574	806	595
575	807	594
576	808	592
577	809	590
578	810	589
579	811	587
580	812	585
581	813	583
582	814	582
583	815	580
584	816	579
585	817	577
586	818	575
587	819	573
588	820	572
589	821	570
590	822	569
591	823	567
592	824	565
593	825	564
594	826	562
595	827	560
596	828	559
597	829	557
598	830	555
599	831	554
600	832	552
601	833	550
602	834	549
